"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"marknotgeorge logo";1;"LOGO";;;
2;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole_Pad";;;
3;"J3";"JST_VH_B2PS-VH_1x02_P3.96mm_Horizontal";1;"Conn_01x02_Male";;;
4;"F1";"Fuseholder_Blade_Mini_Keystone_3568";1;"10A";;;
5;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"JST SM Connector";;;
6;"R1,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10k";;;
7;"Q1,Q2";"SOT-323_SC-70_Handsoldering";2;"SS8050";;;
8;"IC1";"SOIC127P600X175-14N";1;"SN74AHCT125D";;;
9;"C5,C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.1uF";;;
10;"C1";"CAPPRD350W65D800H1300";1;"EEU-FR0J102";;;
11;"C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"22uF";;;
12;"C3";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"22uf";;;
13;"C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.1uF 50V";;;
14;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
15;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
16;"R3";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"470R";;;
17;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10K";;;
18;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
19;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
20;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
